,Payment Number,Ending Balance No Extra,Interest No Extra,Principal No Extra,Ending Balance Extra,Interest Extra,Principal Extra
0,1,99695.41199346562,250.02402153007085,304.58800653437925,99500,250.02402153007085,304.58800653437925
1,2,99390.0624437482,249.26247834703534,305.3495497174148,99000,248.7739014224205,305.8381266420296
2,3,99083.94944680686,248.49903112310787,306.1129969413422,98500,247.52378131477016,307.0882467496799
3,4,98777.07109384013,247.7336750977289,306.8783529667212,98000,246.2736612071198,308.3383668573303
4,5,98469.42547127412,246.96640549843625,307.64562256601386,97500,245.02354109946944,309.5884869649807
5,6,98161.01066075051,246.1972175408355,308.4148105236146,97000,243.77342099181908,310.838607072631
6,7,97851.82473911463,245.42610642857002,309.18592163588005,96500,242.52330088416875,312.08872718028135
7,8,97541.86577840347,244.65306735329116,309.95896071115897,96000,241.2731807765184,313.3388472879317
8,9,97231.13184583365,243.87809549462833,310.7339325698218,95500,240.02306066886803,314.5889673955821
9,10,96919.62100378936,243.1011860201587,311.5108420442914,95000,238.77294056121767,315.83908750323246
10,11,96607.3313098103,242.3223340853774,312.2896939790727,94500,237.5228204535673,317.0892076108828
11,12,96294.26081657951,241.541534833667,313.0704932307831,94000,236.27270034591697,318.3393277185331
12,13,95980.40757191133,240.75878339626735,313.85324466818275,93500,235.0225802382666,319.58944782618346
13,14,95665.76961873913,239.97407489224534,314.6379531722048,93000,233.77246013061625,320.83956793383385
14,15,95350.34499510314,239.1874044284643,315.42462363598577,92500,232.5223400229659,322.08968804148424
15,16,95034.13173413824,238.3987670995535,316.21326096489656,92000,231.27221991531556,323.33980814913457
16,17,94717.12786406167,237.6081579878777,317.0038700765724,91500,230.0220998076652,324.5899282567849
17,18,94399.33140816072,236.8155721635063,317.7964559009438,91000,228.77197970001484,325.84004836443523
18,19,94080.74038478045,236.0210046841827,318.5910233802674,90500,227.52185959236448,327.0901684720856
19,20,93761.3528073113,235.22445059529355,319.38757746915655,90000,226.27173948471412,328.340288579736
20,21,93441.16668417669,234.42590492983769,320.18612313461244,89500,225.0216193770638,329.59040868738634
21,22,93120.18001882063,233.62536270839533,320.9866653560548,89000,223.77149926941343,330.8405287950367
22,23,92798.39080969527,232.82281893909683,321.7892091253533,88500,222.52137916176306,332.090648902687
23,24,92475.79705024841,232.0182686175918,322.5937594468583,88000,221.2712590541127,333.3407690103374
24,25,92152.39672891097,231.2117067270177,323.4003213374324,87500,220.02113894646237,334.59088911798773
25,26,91828.18782908449,230.40312823796867,324.20889982648146,87000,218.771018838812,335.8410092256381
26,27,91503.1683291285,229.5925281084641,325.019499955986,86500,217.52089873116165,337.09112933328845
27,28,91177.33620234797,228.7799012839172,325.8321267805329,86000,216.2707786235113,338.3412494409388
